Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2007-03-30,94.28,94.68,92.75,92.91,21448500.0,0.0,1.0,12.165455278548,12.217069429072,11.968031152793,11.988676813003,150139500.0
2007-04-02,94.14,94.25,93.02,93.65,17928300.0,0.0,1.0,12.147390325865,12.161584217259,12.002870704397,12.084162991472,125498100.0
2007-04-03,94.14,95.23,93.76,94.5,20854800.0,0.0,1.0,12.147390325865,12.288038886043,12.098356882867,12.193843061336,145983600.0
2007-04-04,94.94,95.14,94.13,94.27,17028000.0,0.0,1.0,12.250618626913,12.276425702175,12.146099972101,12.164164924785,119196000.0
2007-04-05,94.12,94.68,93.52,94.68,12697000.0,0.0,1.0,12.144809618338,12.217069429072,12.067388392552,12.217069429072,88879000.0
2007-04-09,95.21,95.3,93.04,93.65,14762200.0,0.0,1.0,12.285458178517,12.297071362385,12.005451411923,12.084162991472,103335400.0
2007-04-10,93.67,94.258,93.41,94.25,12588100.0,0.0,1.0,12.086743698999,12.162616500269,12.053194501158,12.161584217259,88116700.0
2007-04-11,93.9,93.95,92.33,92.59,19607800.0,0.0,1.0,12.11642183555,12.122873604366,11.913836294743,11.947385492583,137254600.0
2007-04-12,92.04,92.31,90.72,92.19,23452700.0,0.0,1.0,11.876416035613,11.911255587216,11.706089338883,11.895771342059,164168900.0
2007-04-13,90.9,91.4001,90.0599,90.24,25712200.0,0.0,1.0,11.729315706619,11.793846298312,11.62091308698,11.644152358254,179985400.0
2007-04-16,90.57,91.5,90.25,91.43,21751200.0,0.0,1.0,11.686734032436,11.806736932405,11.645442712017,11.797704456063,152258400.0
2007-04-17,92.0,92.3,89.7,90.35,26854300.0,0.0,1.0,11.87125462056,11.909965233453,11.574473255046,11.658346249648,187980100.0
2007-04-18,90.16,90.85,89.6,90.4,16573000.0,0.0,1.0,11.633829528149,11.722863937803,11.561569717415,11.664798018464,116011000.0
2007-04-19,90.19,91.25,89.83,90.27,15211200.0,0.0,1.0,11.637700589438,11.774478088327,11.591247853967,11.648023419543,106478400.0
2007-04-20,90.889,91.18,90.55,90.97,18670700.0,0.0,1.0,11.727896317479,11.765445611986,11.68415332491,11.73834818296,130694900.0
2007-04-23,91.585,93.8,91.42,93.51,27867500.0,0.0,1.0,11.817704939391,12.103518297919,11.7964141023,12.066098038789,195072500.0
2007-04-24,93.96,96.39,91.3,93.24,37687600.0,0.0,1.0,12.124163958129,12.437719922563,11.780929857143,12.031258487185,263813200.0
